Run	Coalescent time	First ascertained	First unascertained	First hospitalized	infections
0480	0.0029909999999999997	0.000677	0.015696	0.071701	2
0481	0.00276	0.035949	0.008249	0.065347	1
0482	0.017421	0.004421	0.040478	0.042036	2
0483	0.004197	0.044515	0.021521	0.073664	2
0484	0.037435	0.018826	0.000472	0.072073	8
0485	0.004393	0.028609	0.002776	0.054472	1
0486	0.012909	0.01997	0.001618	0.078973	2
0487	0.02138	0.05421	0.003714	0.089036	3
0488	0.022312000000000002	0.03341	0.002547	0.052421	4
0489	0.007841	0.019219	0.004696	0.047488	3
0490	0.040143	0.015302	0.047162	0.04992	2
0491	0.002658	0.002903	0.034752	0.038979	1
0492	0.000951	0.009648	0.052432	0.017124	1
0493	0.007814999999999999	0.065389	0.008308	0.122125	2
0494	0.012752999999999999	0.035443	0.001481	0.074776	3
0495	0.000529	0.001106	0.015364	0.053765	2
0496	0.023829999999999997	0.018314	0.008091	0.049135	7
0497	0.002132	0.026996	0.006476	0.036335	2
0498	0.012070999999999998	0.00206	0.024139	0.015748	2
0499	0.059251	0.101936	0.019444	0.131408	9
0500	0.012355999999999999	0.059814	0.011146	0.073656	2
0501	0.003618	0.014922	0.003966	0.047781	2
0502	0.051095	0.042221	0.000852	0.06374	13
0503	0.174853	0.055454	0.008152	0.209582	24
0504	0.034018	0.003119	0.015931	0.034148	9
0505	0.0057020000000000005	0.024349	0.00852	0.053836	3
0506	0.017609	0.004341	0.02368	0.014781	5
0507	0.044051	0.007265	0.039698	0.093286	4
0508	0.007519	0.003421	0.04284	0.05873	2
0509	0.001408	0.018639	0.044136	0.056651	1
0510	0.0053029999999999996	0.020345	0.002152	0.031873	3
0511	0.025813	0.053205	0.001447	0.058998	3
0512	0.000192	0.015027	0.015747	0.048309	2
0513	0.009914999999999998	0.016747	0.013185	0.044809	3
0514	3.4e-05	0.008305	0.009955	0.063315	2
0515	0.0	0.001637	0.012821	0.029994	1
0516	0.0	0.013883	0.015084	0.026268	1
0517	0.022631	0.062653	0.002421	0.087445	5
0518	0.001052	0.013657	0.041009	0.065404	1
0519	0.000184	0.007348	0.016622	0.058454	2
0520	0.037063	0.048857	0.011855	0.079487	5
0521	0.00097	0.056845	0.005562	0.083266	1
0522	0.001377	0.051925	0.010923	0.082637	1
0523	0.011798	0.04018	0.001438	0.069179	5
0524	0.026828	0.05336	0.004911	0.077571	3
0525	0.01455	0.062719	0.012151	0.087967	2
0526	0.00033	0.0136	0.013145	0.048847	2
0527	0.027225	0.059057	0.013818	0.10625	3
0528	0.011956	0.010102	0.025995	0.043708	1
